Model,Experiment_ID,Timestamp,Test_Accuracy,Test_F1_Score,Test_Precision,Test_Recall,Test_AUC,Best_Val_Accuracy,Best_Val_Loss,Final_Val_Accuracy,Final_Val_Loss,True_Negative,False_Positive,False_Negative,True_Positive,False_Negative_Rate,Specificity,Model_Size_KB,Model_Size_MB,Total_Parameters,Training_Time_Sec,Inference_Time_MS,Epochs_Trained,F1_per_MB,F1_per_M_Params,Training_Efficiency,General_Efficiency,Mobile_Efficiency
GRU,halal_haram_dl_exp_20251110_191216,20251110_191216,0.9936406351263772,0.9929650042568446,0.9919427036705462,0.9939894141921594,0.9994312135188614,0.991736888885498,0.03477518633008003,0.991493821144104,0.03693269565701485,13451,90,67,11080,0.006010585807840674,0.993353518942471,1304.5234375,1.2739486694335938,1321473,1622.9751389026642,11.700892448425293,10,0.7794387859428619,0.7514077126485708,0.036709065239097165,0.5441825446087144,0.6118572756857276
Hybrid CNN-GRU,halal_haram_dl_exp_20251110_191216,20251110_191216,0.9921824368114064,0.9913549832026876,0.9899803184827339,0.9927334708890284,0.999184873093274,0.9906027317047119,0.03439457714557648,0.9904407262802124,0.03513185307383537,13429,112,81,11066,0.007266529110971562,0.9917288235728529,1306.5625,1.27593994140625,1318241,1874.0802090168,3.629744052886963,10,0.7769605378996811,0.7520286375576906,0.031738929158942976,0.5174687705930974,0.6103135134385594
LSTM,halal_haram_dl_exp_20251110_191216,20251110_191216,0.9896710952689566,0.9885160999774827,0.9924941219026949,0.9845698394186777,0.9982216722903566,0.9876053333282471,0.03942844271659851,0.9876053333282471,0.03942844271659851,13458,83,172,10975,0.015430160581322329,0.9938704674691677,1315.3671875,1.2845382690429688,1333633,1970.7013268470764,4.359073638916016,10,0.7695497470184098,0.7412204856789556,0.030096374925337132,0.5037333289753383,0.6054430039117665
CNN-1D,halal_haram_dl_exp_20251110_191216,20251110_191216,0.9879293583927414,0.9866785873938311,0.983337788470106,0.9900421638108908,0.9992387482604439,0.9880103468894958,0.05016288906335831,0.9875243306159973,0.050995223224163055,13354,187,111,11036,0.009957836189109177,0.9861900893582454,1344.375,1.3128662109375,1370369,508.8886332511902,4.2827630043029785,8,0.7515454196122979,0.7200094189184308,0.11633334166929224,0.6454250713641614,0.5964374105340281
FastText,halal_haram_dl_exp_20251110_191216,20251110_191216,0.9791801685029164,0.9770227983907018,0.9737146930410764,0.9803534583295954,0.9984427214652467,0.9780460000038147,0.06231848523020744,0.9780460000038147,0.06231848523020744,13246,295,219,10928,0.019646541670404593,0.9782143120892105,1261.171875,1.2316131591796875,1288321,207.82466197013855,0.05002737045288086,10,0.793287073224717,0.7583690698131147,0.28207127752655825,0.6896816011023101,0.6153565094179505
