model_name,accuracy,f1_score,precision,recall,avg_inference_time_ms,model_size_mb,efficiency,test_samples
Hybrid CNN-GRU (Dynamic Range) - 256,0.96,0.9599415584415585,0.960164139974923,0.96,2.613842010498047,1.0902938842773438,0.8804965467051998,500
Hybrid CNN-GRU (Float16) - 256,0.962,0.9619545268316032,0.9621044309974625,0.962,1.8978157043457031,2.16162109375,0.4450363677433928,500
Hybrid CNN-GRU (Float32) - 256,0.962,0.9619545268316032,0.9621044309974625,0.962,1.653881549835205,4.300270080566406,0.22370687933007477,500
