model_name,accuracy,f1_score,precision,recall,avg_inference_time_ms,model_size_mb,efficiency,test_samples
Hybrid CNN-GRU (Dynamic Range) - 256,0.96,0.9599415584415585,0.960164139974923,0.96,2.5878524780273438,1.0945281982421875,0.877090239924161,500
Hybrid CNN-GRU (Float16) - 256,0.962,0.9619545268316032,0.9621044309974625,0.962,1.8840665817260742,2.165435791015625,0.4442523782008822,500
Hybrid CNN-GRU (Float32) - 256,0.962,0.9619545268316032,0.9621044309974625,0.962,1.7252116203308105,4.303184509277344,0.2235553688032665,500
