Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Val_F1,Best_Val_Accuracy,Training_Time_sec,Size_MB,Parameters,Epochs_Trained,Final_LR,F1_per_MB,F1_per_Param,Training_Efficiency,Val_Test_Diff,F1_Norm,Accuracy_Norm,Precision_Norm,Recall_Norm,Size_Efficiency,Speed_Efficiency,Param_Efficiency,F1_per_Param_Million,F1_per_TrainingMinute,General_Efficiency,Mobile_Efficiency,Performance_Efficiency,Production_Efficiency
FastText,0.9527519477255592,0.9636678200692042,0.9304008908685969,0.9467422096317281,0.9522493088715758,0.95625,0.9370824053452116,0.9465691788526435,0.9467422096317281,0.9527519345283508,41.948662519454956,12.571281433105469,1095041,5,0.0010000000474974513,0.07529615687068535,0.8644143724779653,1.3538965802501717,0.00017303077908459308,0.9827124046578356,0.9849233168702884,0.985628765060241,0.9625393194166428,0.08785018481111184,0.9048326990186857,0.0872475333683973,0.8644143724779653,1.3538965802501717,0.6091011778749089,0.5196450884623723,0.7472546287060108,0.6052071925929515
Hybrid_CNN_GRU,0.9736114601658709,0.9720826353992184,0.9693763919821826,0.9707276275439086,0.9668258356370948,0.964026770775237,0.9624164810690423,0.9632209529116745,0.9707276275439086,0.9736114740371704,105.37093043327332,12.906723022460938,1122913,5,0.0005000000237487257,0.0746293967287768,0.8577876940703995,0.5484743936212877,0.007506674632234089,1.0,1.0,0.9936444607207413,0.9885616242493566,0.06351113987242307,0.7609490637139211,0.06401531032838692,0.8577876940703995,0.5484743936212877,0.577669894260148,0.48399579972459217,0.7300705615707903,0.565717347445844
CNN1D,0.9738627795928625,0.9747474747474747,0.9671492204899778,0.9709334823923981,0.9658205579291279,0.9608550805108274,0.9635300668151447,0.9621907144842925,0.9709334823923981,0.9738627672195435,53.551673412323,13.782035827636719,1199713,5,0.0005000000237487257,0.06981484640714974,0.8020174112344306,1.0780511455646264,0.008742767908105575,0.9989304235707624,0.998960228749675,0.9903753269602564,0.9897054618244209,0.0,0.8785093989749972,0.0,0.8020174112344306,1.0780511455646264,0.5752740492233044,0.4753810068662282,0.7311346639887071,0.5692529979935161
GRU,0.972606182457904,0.9647382920110192,0.9749443207126949,0.9698144558294101,0.9660718773561197,0.9523420479302832,0.9735523385300668,0.9628303964757711,0.9698144558294101,0.9726061820983887,380.0537419319153,13.011741638183594,1132417,5,0.0010000000474974513,0.07399704230602751,0.8502436792063092,0.15200435468648915,0.006984059353638994,0.999594530793041,0.9992201715622563,0.9816007494028401,1.0,0.05589117595446069,0.13778684050450918,0.05609341567524895,0.8502436792063092,0.15200435468648915,0.4497819867580207,0.3554015392881233,0.634417762512195,0.40669160224359413
LSTM,0.9509927117366173,0.9608520437535981,0.9292873051224945,0.9448061137843193,0.9530032671525509,0.9701928696668615,0.9242761692650334,0.9466780724265753,0.9448061137843193,0.9509927034378052,440.7886121273041,13.184593200683594,1147585,5,0.0010000000474974513,0.07180184159018968,0.8249306782735704,0.12886150590748457,-0.0018719586422559775,0.9828254561582236,0.9857031453080322,1.0,0.9493851873034029,0.04334937410009421,0.0,0.04345039188539257,0.8249306782735704,0.12886150590748457,0.4104850847711219,0.316532425676044,0.6005427189984875,0.36134381196321075
