Model,F1_per_MB,F1_per_Param,Training_Efficiency
Hybrid_CNN_GRU,0.0746293967287768,0.8577876940703995,0.5484743936212877
GRU,0.07399704230602751,0.8502436792063092,0.15200435468648915
CNN1D,0.06981484640714974,0.8020174112344306,1.0780511455646264
LSTM,0.07180184159018968,0.8249306782735704,0.12886150590748457
FastText,0.07529615687068535,0.8644143724779653,1.3538965802501717
