Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Val_F1,Best_Val_Accuracy,Training_Time_sec,Size_MB,Parameters,Epochs_Trained,Final_LR,F1_per_MB,F1_per_Param,Training_Efficiency,Val_Test_Diff,F1_Norm,Accuracy_Norm,Precision_Norm,Recall_Norm,Size_Efficiency,Speed_Efficiency,Param_Efficiency,F1_per_Param_Million,F1_per_TrainingMinute,General_Efficiency,Mobile_Efficiency,Performance_Efficiency,Production_Efficiency
FastText,0.9572756974114099,0.9721254355400697,0.9320712694877505,0.9516770892552585,0.9579039959788892,0.9662181505868881,0.9395879732739421,0.9527170077628793,0.9516770892552585,0.9572756886482239,21.693949699401855,12.571281433105469,1095041,5,0.0010000000474974513,0.07578519443960381,0.8700286178899962,2.634975246916372,-0.0010399185076207518,0.986742615182982,0.9883313885647609,0.9885307006881345,0.9701063524001149,0.08785018481111184,0.979214160534339,0.0872475333683973,0.8700286178899962,2.634975246916372,0.6255895543880983,0.5357304439230469,0.7608299742484466,0.625213131655666
Hybrid_CNN_GRU,0.9721035436039206,0.9828080229226361,0.9548997772828508,0.9686529229031349,0.9692133701935159,0.9763734699686877,0.9548997772828508,0.9655172413793104,0.9686529229031349,0.9721035361289978,236.97235941886902,12.906723022460938,1122913,5,0.0010000000474974513,0.07480731086419598,0.8598326329638274,0.244463255650675,0.003135681523824485,1.0,1.0,0.9989205334377103,0.9859154929577465,0.06351113987242307,0.7729473199241657,0.06401531032838692,0.8598326329638274,0.244463255650675,0.580069545502197,0.48639545096664105,0.731870300002327,0.5687169114984052
CNN1D,0.974365418446846,0.9689922480620154,0.9743875278396437,0.971682398667407,0.9670771550640864,0.9589305402425579,0.9685412026726058,0.9637119113573407,0.971682398667407,0.9743654131889343,102.63156151771545,13.782035827636719,1199713,5,0.0010000000474974513,0.06992522174589308,0.8032853785508206,0.5634009053975032,0.007970487310066332,0.9981301939058171,0.9977959289511215,0.9810748000143095,1.0,0.0,0.9016646027405437,0.0,0.8032853785508206,0.5634009053975032,0.5795849981104356,0.4797719787198539,0.7341278067545719,0.5747617185521718
GRU,0.9708469464689621,0.9666666666666667,0.9688195991091314,0.967741935483871,0.9680824327720533,0.9620708748615725,0.9674276169265034,0.964741810105497,0.967741935483871,0.970846951007843,1030.3578507900238,13.011741638183594,1132417,5,0.0010000000474974513,0.07414394144396587,0.8519315853660772,0.056179033878323965,0.003000125378374019,0.9991968747521218,0.9988331388564761,0.9842876533222753,0.9988502443230813,0.05589117595446069,0.012773000054691397,0.05609341567524895,0.8519315853660772,0.056179033878323965,0.42462015625168953,0.330279474385884,0.6154270928201707,0.37529896251681805
LSTM,0.9716009047499372,0.9794871794871794,0.9571269487750557,0.9681779780343565,0.9685850716260367,0.9774285714285714,0.9523942093541202,0.9647490129723633,0.9681779780343565,0.9716008901596069,1043.6888890266418,13.184593200683594,1147585,5,0.0010000000474974513,0.07317245198906425,0.8406776081705174,0.05546187315678532,0.0034289650619931944,0.9992043348642333,0.9993517438091534,1.0,0.9833285426846795,0.04334937410009421,0.0,0.04345039188539257,0.8406776081705174,0.05546187315678532,0.4170366362535258,0.3214460892878469,0.6103700462220933,0.3670764195103141
