Model,F1_per_MB,F1_per_Param,Training_Efficiency
Hybrid_CNN_GRU,0.07480731086419598,0.8598326329638274,0.244463255650675
LSTM,0.07317245198906425,0.8406776081705174,0.05546187315678532
GRU,0.07414394144396587,0.8519315853660772,0.056179033878323965
CNN1D,0.06992522174589308,0.8032853785508206,0.5634009053975032
FastText,0.07578519443960381,0.8700286178899962,2.634975246916372
